UserId,Reputation,ViewCount,UpVotes,Answers_to_Questions,Total_Answer_Score,Comments_to_Questions,Total_c2q_Score,Comments_to_Answers,Total_c2a_Score
"75","27126","19690","3344","254","2472","314","697","342","501"
"2290","27060","15882","2525","366","2824","653","1506","346","633"
"1441","27018","16834","3583","328","2325","423","555","573","406"
"1310","26187","13758","5197","216","1769","260","570","253","380"
"20302","25907","11500","2580","407","2250","397","408","316","193"
"6085","25698","14288","7207","179","2277","599","915","739","919"
"394","25618","15426","3445","310","2661","555","893","538","854"
"21684","25574","14381","2894","261","1858","858","999","462","387"
"2954","25543","13608","8867","380","2583","990","1319","680","819"
"9025","25511","6795","777","331","1648","513","498","394","279"
"4144","25338","21840","987","260","2268","577","1096","269","356"
"14447","25074","11132","19","218","2330","72","166","139","342"
"8008","24475","6379","481","479","1630","312","187","437","132"
"2554","24471","13583","1741","312","2123","494","745","391","494"
"8430","24091","14038","4546","344","1785","995","895","537","372"
"40297","23982","7429","275","334","1662","460","603","269","154"
"15934","23480","12247","4023","316","1952","861","938","630","325"
"4790","23314","22468","465","247","2418","246","752","178","429"
"3503","23295","11618","792","204","2215","221","568","204","843"
"8103","22398","6422","2638","201","1283","385","466","242","134"
"23141","22186","11599","829","213","1222","216","297","334","249"
"9062","21970","45138","381","125","2624","60","160","194","357"
"26935","21865","7776","1046","402","1591","68","68","79","70"
"22989","21694","5993","699","131","1097","137","200","126","155"
"7206","21693","15628","3085","154","1217","970","974","943","650"
"391","21425","16046","1930","237","1907","557","851","335","846"
"4428","21311","10234","556","297","1400","232","257","234","133"
"4008","20917","12584","93","203","1902","226","436","282","321"
"36721","20854","3279","560","74","269","42","10","132","41"
"613","20470","20629","3401","320","3131","1167","1613","813","1102"
"4832","20339","9139","1683","215","1823","594","726","321","978"
"437","20139","10286","1527","159","1759","162","373","171","296"
"19276","19933","3469","3822","144","1303","71","109","108","88"
"2481","19771","8812","1094","127","967","247","246","147","111"
"1459","19770","40918","379","154","2749","144","400","224","954"
"943","19692","10845","2190","195","1552","144","163","233","73"
"2233","19651","9938","1452","272","1704","186","195","261","331"
"45","19610","14280","414","211","2439","403","925","464","636"
"3324","19585","17424","116","311","1687","1015","1289","595","286"
"8133","19516","8743","1736","157","919","599","548","455","167"
"22","19490","8943","2009","185","2075","254","628","273","665"
"11115","19392","16078","1770","101","751","152","104","130","38"
"586","19392","10213","2003","146","2077","400","1112","323","764"
"126667","19311","31875","938","165","1791","160","305","227","414"
"1573","19252","6762","1730","150","1307","453","639","376","327"
"5371","19187","9354","1573","157","2177","87","265","137","61"
"3948","19069","16569","4770","247","1459","909","959","710","1003"
"9317","18817","22184","1995","146","1504","319","527","358","537"
"582","18797","10512","874","165","1894","85","98","213","232"
"4213","18681","9078","578","221","1767","234","675","190","251"
"2530","18433","18386","3473","185","1318","1118","1700","1081","1378"
"2083","18363","17958","1273","193","1444","208","228","347","156"
"66131","18336","6538","398","","","2","3","",""
"8176","18269","11013","1744","158","1257","182","203","216","179"
"1463","18193","8505","4708","195","1560","746","875","593","548"
"4600","18009","5932","3283","256","1112","79","61","186","81"
"15629","17998","9588","4699","251","1520","227","289","254","262"
"2757","17774","11201","685","89","1614","54","167","120","221"
"4177","17615","16747","6679","194","1409","1407","1193","851","663"
"61536","17448","8941","430","20","98","22","7","7","2"
"3521","17017","7418","1849","266","1609","405","328","284","131"
"184","16978","8372","1895","96","1192","135","207","248","334"
"763","16667","27425","6804","231","1692","3018","3861","1368","1677"
"51","16589","12562","223","150","2190","23","192","64","358"
"9928","16421","5855","385","176","1651","155","241","218","212"
"11054","16257","6495","448","206","1073","615","743","226","145"
"2349","16063","7620","2337","171","1486","348","425","350","175"
"10503","16042","10918","142","250","1984","291","516","219","202"
"4362","15989","13470","130","108","1452","298","597","207","303"
"440","15803","6562","1303","215","1553","89","171","182","242"
"22131","15586","3707","841","71","422","129","143","116","88"
"23571","15442","5418","40","80","1474","32","150","50","175"
"431","15344","11765","594","190","1882","170","409","203","440"
"8628","15327","7991","2498","75","228","173","29","76","12"
"22277","15196","8198","843","208","1168","177","177","149","67"
"1","15038","23917","1044","105","1526","316","540","308","365"
"2362","14872","4201","1290","32","198","89","62","136","87"
"6950","14857","15852","742","115","1204","313","424","376","329"
"13268","14764","6903","3057","127","626","221","264","131","114"
"7666","14689","7563","438","127","954","194","357","195","288"
"12481","14363","7285","2928","208","798","677","139","693","105"
"43108","14168","2707","1652","81","565","21","15","50","15"
"1004","14040","9738","537","107","1359","339","347","305","190"
"381","14023","7627","652","143","1167","159","246","267","286"
"17581","13880","3895","526","131","621","155","129","119","49"
"4720","13875","5605","1734","74","1352","179","647","152","535"
"2821","13802","15032","2863","163","1549","237","412","354","626"
"402","13775","10914","5476","99","1248","250","224","327","364"
"7743","13642","4959","98","180","1341","92","82","165","123"
"1532","13616","22991","7210","253","3276","337","907","335","922"
"6506","13584","3790","2136","97","792","450","459","252","193"
"318","13545","4618","865","96","866","67","129","85","111"
"7721","13520","26933","0","52","1119","17","67","41","141"
"50846","13407","5876","4387","112","692","191","202","79","25"
"344","13366","27335","1841","104","1035","211","167","268","217"
"18739","13352","3833","790","142","1015","106","145","131","138"
"10194","13171","5160","425","176","1008","234","168","257","74"
"1898","13170","4329","2319","199","1020","385","458","265","458"
"2051","13127","13265","2473","167","2183","223","344","275","465"
"20787","13111","4308","1839","174","1029","270","387","213","174"
"11540","13110","11350","4869","178","1056","461","376","341","169"
"9924","12889","4920","628","90","483","198","174","146","43"
"83","12780","16049","2518","144","1409","301","494","401","723"
"48839","12661","4428","1252","133","522","461","426","203","122"
"5740","12653","10615","1599","180","2065","485","939","849","1726"
"28104","12555","8387","1948","106","753","364","402","188","141"
"7311","12405","8857","320","121","1599","43","108","102","280"
"4040","12065","11321","344","130","1497","34","73","89","264"
"6129","11925","2682","698","96","749","15","34","35","22"
"12166","11910","8077","1333","162","937","934","1096","268","186"
"8032","11808","4490","170","107","814","137","157","191","156"
"2622","11790","4289","3815","180","934","295","273","240","134"
"48142","11710","2045","3208","76","576","85","146","67","78"
"10446","11576","9454","4178","116","633","572","181","517","86"
"1847","11455","12760","1730","220","1323","707","882","325","362"
"1358","11452","8716","705","60","249","211","70","128","17"
"1650","11385","3458","955","191","1151","202","194","278","196"
"14915","11324","4185","1425","124","911","190","219","146","147"
"6153","11248","6053","76","258","1201","155","224","140","146"
"353","11198","4300","10216","120","845","460","450","277","194"
"2356","11191","6737","708","110","1095","152","309","174","139"
"3460","11183","1846","242","68","523","34","43","51","71"
"5101","11170","4249","2946","80","458","266","224","112","63"
"7076","11162","4158","669","112","600","86","52","96","43"
"7410","11146","7779","1793","103","570","108","59","125","116"
"1784","11144","6379","331","65","993","33","106","82","93"
"2106","11111","9680","179","84","918","71","105","113","114"
"32389","11095","3965","386","136","688","32","14","60","40"
"1266","11058","4943","1315","175","1096","138","145","128","162"
"622","11011","10621","863","167","1574","153","177","228","271"
"4961","10936","4868","2735","188","1141","321","305","216","226"
"10696","10841","5822","379","116","859","179","247","230","260"
"1306","10763","7139","2751","158","997","235","212","252","169"
"12120","10701","4386","149","244","971","196","207","95","98"
"8588","10684","3337","61","154","534","42","13","110","34"
"9269","10640","6010","143","71","788","72","47","153","79"
"82179","10600","5068","1588","10","78","12","8","9","10"
"19475","10561","4020","1653","141","505","82","36","88","21"
"4721","10346","7057","4070","70","545","497","436","416","363"
"4953","10336","9337","773","130","1143","516","500","457","294"
"32332","10335","3814","189","201","937","165","115","101","45"
"3485","10286","6573","480","122","955","92","129","152","98"
"1587","10264","8298","2183","127","2111","35","189","179","617"
"19949","10224","6931","27","249","1249","76","63","223","112"
"17064","10129","3372","1814","15","77","26","35","17","35"
"143","10079","5327","3350","140","956","147","167","305","997"
"955","9982","3478","745","113","432","236","75","214","79"
"17836","9853","3094","853","124","642","134","134","113","80"
"1353","9730","37884","4340","117","813","1019","1225","1101","1280"
"3545","9726","7321","279","78","1023","125","310","140","280"
"9449","9713","8266","507","144","1252","238","407","316","473"
"1335","9607","4218","2384","123","1196","97","217","175","278"
"4528","9584","6401","468","123","508","260","131","314","94"
"12310","9574","10279","1526","81","423","150","135","140","44"
"26522","9539","10434","1725","59","724","275","341","219","163"
"284","9469","3912","3017","101","786","95","151","120","64"
"1826","9448","18491","53","30","992","120","377","140","372"
"11100","9423","3845","1440","152","576","398","220","254","108"
"35353","9371","11189","2718","46","279","124","107","80","77"
"18263","9360","7409","1144","85","608","238","349","145","148"
"3996","9315","4925","749","113","1011","214","435","130","115"
"70618","9239","1637","1481","26","163","35","29","28","17"
"21146","9168","1881","579","53","677","63","84","81","50"
"35416","9157","5305","1399","98","890","182","340","176","311"
"23291","9154","4157","540","106","512","164","168","180","75"
"406","9105","4036","1216","106","631","186","169","193","291"
"43054","9032","4320","1907","22","190","87","149","44","42"
"10909","9028","6929","386","40","477","213","199","133","100"
"3710","8986","2184","269","90","789","91","121","121","81"
"3402","8975","7782","5","160","347","533","310","390","130"
"2273","8921","5480","6470","68","542","158","319","236","608"
"5091","8907","3669","830","83","475","218","321","139","214"
"733","8899","5069","2462","136","1125","64","75","147","188"
"21123","8829","5029","815","87","597","190","237","197","90"
"1044","8817","5244","1550","123","763","278","497","269","631"
"14497","8756","6295","691","145","916","256","373","103","92"
"65","8746","12439","671","151","722","158","139","303","299"
"2893","8732","7246","364","26","318","48","45","49","27"
"1017","8712","5937","383","54","729","52","137","50","95"
"5442","8702","2743","490","105","903","143","277","273","320"
"3847","8622","5606","1510","80","476","181","260","66","25"
"801","8616","2998","937","96","679","226","164","141","94"
"10898","8613","5504","2893","26","127","113","101","52","31"
"430","8594","5199","931","93","918","46","137","58","78"
"11640","8565","5568","2821","100","652","436","607","221","195"
"519","8499","5184","187","108","721","318","453","135","102"
"828","8466","6904","1326","64","841","130","200","194","286"
"10744","8432","1905","290","71","519","53","118","43","38"
"12176","8371","6337","1341","52","655","74","112","78","107"
"2191","8347","6548","401","61","285","255","74","187","59"
"41291","8324","8437","6607","80","574","371","199","320","156"
"1464","8292","8462","675","80","667","188","343","163","141"
"21907","8280","4822","30","180","484","32","8","72","14"
"3993","8258","5095","2632","114","783","143","158","217","605"
"34538","8245","5805","2216","58","178","313","88","204","28"
"28128","8083","5798","688","84","319","163","73","234","101"
"14514","8066","2811","378","128","434","11","1","48","1"
"21564","8011","6777","1421","12","83","46","39","73","160"
"37555","7989","2359","341","69","336","17","4","40","33"
"6451","7964","2748","3919","103","718","147","156","143","114"
"10400","7908","9759","2392","204","608","465","160","358","84"
"35357","7834","3372","1070","95","712","140","199","114","142"
"11145","7831","3709","388","57","349","139","149","141","110"
"935","7802","5656","2440","117","1437","141","268","171","517"
"630","7722","5095","387","89","683","64","51","60","47"
"1610","7712","3553","364","79","848","31","46","100","305"
"9652","7683","3457","1928","104","712","225","183","118","152"
"750","7658","5376","618","46","863","38","18","66","82"
"310","7602","6630","978","84","683","35","35","89","62"
"27816","7430","2577","352","72","517","17","8","25","12"
"802","7391","4728","510","98","931","209","394","211","698"
"3634","7385","2852","1219","84","736","53","40","89","185"
"382","7385","5919","506","113","1122","87","262","197","383"
"6936","7380","7624","1402","62","393","331","339","204","257"
"2284","7366","8153","483","87","752","110","309","107","256"
"250","7365","6167","6780","64","699","93","295","144","441"
"3502","7352","5165","200","112","659","74","78","204","244"
"1114","7343","4657","1862","55","682","89","154","164","284"
"1056","7342","4725","1569","165","681","391","300","211","77"
"6205","7341","4011","1066","65","816","73","58","83","62"
"321","7315","5205","653","92","633","45","35","71","45"
"21051","7257","2685","583","68","350","171","115","102","65"
"3199","7249","3441","2346","74","506","86","88","111","87"
"930","7228","9001","4","44","862","31","282","34","434"
"30186","7182","2302","1172","14","79","59","67","78","37"
"16183","7181","3127","404","36","176","70","26","110","18"
"3992","7162","4258","401","163","747","162","148","131","70"
"1106","7159","7791","885","77","1031","247","496","346","1106"
"3621","7123","3105","22","21","76","123","44","110","20"
"5963","7086","2666","1249","117","659","153","190","119","78"
"2689","7044","7859","290","42","396","85","56","84","49"
"5712","7009","3083","1424","109","501","93","52","100","48"
"44143","7008","2315","514","46","193","35","20","44","25"
"605","6962","3491","1638","93","636","18","9","64","30"
"39521","6855","3999","1272","40","351","30","41","35","46"
"84526","6794","5194","336","33","472","40","80","93","295"
"4556","6681","2775","476","102","393","191","177","117","131"
"1355","6680","6327","508","64","444","143","157","156","166"
"5010","6670","5087","535","54","509","124","147","127","113"
"39495","6595","1280","1017","32","349","42","38","27","15"
"51164","6581","1679","305","23","143","22","11","35","31"
"1492","6555","2340","168","56","428","111","138","101","115"
"2039","6554","4274","1359","60","866","128","238","165","361"
"4639","6545","3850","1099","67","476","131","163","173","147"
"5263","6534","1958","831","40","379","35","76","20","20"
"75735","6517","849","795","31","225","5","3","8","5"
"15129","6513","3259","2572","43","243","68","55","62","33"
"6756","6509","2404","1310","72","413","93","126","56","73"
"1233","6507","9756","532","99","1827","82","222","113","516"
"7709","6487","3178","694","43","385","36","86","37","24"
"12547","6476","3000","114","57","373","55","84","72","79"
"5301","6463","5158","136","124","403","78","50","138","64"
"35575","6414","4593","897","60","745","135","390","125","459"
"39082","6385","2188","585","46","190","118","60","70","32"
"8991","6370","2284","294","57","407","29","74","49","30"
"6647","6321","4220","833","84","726","38","90","44","132"
"5701","6317","4588","297","75","620","80","106","65","46"
"2","6305","6144","5043","63","510","63","68","63","98"
"21724","6274","2854","308","12","77","20","17","21","23"
"4706","6263","4731","344","45","492","42","42","65","109"
"1061","6206","2648","455","100","543","121","85","125","153"
"703","6204","3484","1587","93","549","127","160","95","48"
"29783","6191","2530","5678","38","126","181","78","159","53"
"20233","6119","2851","69","37","318","81","147","42","46"
"3931","6083","10055","22","42","599","36","85","57","98"
"3041","6042","6187","2597","76","413","233","299","196","412"
"7294","6037","2790","451","90","628","107","181","86","108"
"1073","5989","2888","2521","51","742","41","64","51","91"
"451","5983","7735","600","91","542","82","84","82","46"
"1119","5977","8405","1459","78","759","218","548","197","330"
"4149","5965","3422","735","45","230","99","62","94","34"
"3927","5940","22018","125","75","1171","798","2407","498","1364"
"2837","5937","3522","2246","33","354","56","48","106","70"
"2906","5910","3744","146","67","476","20","8","43","22"
"31469","5903","1144","371","24","190","24","50","28","27"
"5743","5826","4386","653","59","546","51","217","51","214"
"3959","5812","4872","1053","58","513","190","193","95","68"
"10265","5803","2995","1213","56","378","86","87","89","58"
"55893","5783","2278","2860","79","409","334","310","78","58"
"1098","5776","3669","399","155","694","13","12","59","30"
"806","5771","4039","607","63","688","177","323","95","344"
"396","5722","3383","445","66","494","33","61","24","21"
"38889","5716","2093","399","11","52","211","52","165","27"
"6316","5688","11461","672","143","955","373","387","351","533"
"2575","5670","6123","153","20","423","53","41","76","95"
"9694","5669","2168","7","69","535","24","23","26","25"
"4042","5668","4207","1051","86","744","188","225","209","283"
"7031","5663","4276","546","86","520","64","66","95","72"
"6348","5661","2385","4139","65","416","23","29","65","66"
"8385","5626","5534","1178","140","379","653","292","413","199"
"32","5619","2875","429","48","505","17","43","37","36"
"425","5596","4991","231","52","286","59","109","44","27"
"3803","5591","4379","3305","38","399","60","91","51","54"
"12905","5507","2687","114","16","101","73","24","75","33"
"439","5506","3831","1450","54","507","8","17","38","28"
"6545","5503","6831","2632","74","595","93","164","227","585"
"3","5497","11311","3458","78","799","328","724","142","299"
"10266","5477","1373","449","55","319","63","62","103","78"
"18050","5477","2626","1234","52","478","45","113","100","84"
"10610","5463","2565","356","54","441","62","90","77","56"
"7402","5445","2003","80","51","403","38","33","69","45"
"1593","5407","7916","2591","44","451","52","73","70","116"
"38783","5382","2234","344","23","131","102","61","82","57"
"35520","5375","2498","242","83","340","124","93","62","28"
"13119","5369","3557","1830","53","350","138","177","69","36"
"9871","5359","4343","717","60","367","129","81","138","53"
"2868","5346","3147","1425","48","466","45","63","63","41"
"12482","5334","4547","2368","81","509","36","17","74","32"
"6818","5332","2345","1499","83","340","159","84","164","94"
"6043","5276","2711","733","47","291","110","61","162","177"
"25028","5242","2763","281","24","199","163","249","57","50"
"4661","5240","4974","73","103","437","161","95","168","94"
"2294","5220","9324","1176","68","886","122","292","165","384"
"3377","5206","4485","53","72","499","17","18","31","9"
"16510","5133","1609","143","48","372","35","71","24","26"
"30412","5129","2107","450","49","365","80","82","86","45"
"25437","5120","2265","1038","12","12","26","2","24","7"
"428","5109","1861","26","30","450","17","63","26","87"
"3969","5098","2924","259","43","170","90","86","71","25"
"1985","5069","3829","764","56","569","52","44","40","73"
"15837","5067","2219","0","91","606","159","148","136","170"
"25","5066","7060","695","73","707","40","70","57","92"
"2363","5056","3202","1259","52","375","56","126","64","88"
"15242","5053","1899","514","18","59","70","23","77","14"
"9617","5049","2864","329","49","597","30","30","54","108"
"70808","5032","2615","2147","64","284","140","97","90","41"
"1040","4978","2441","146","54","347","54","44","96","50"
"13168","4968","3713","7","57","333","122","123","71","47"
"405","4956","3504","1209","59","455","68","70","62","103"
"4183","4929","4208","43","58","1077","32","49","44","113"
"22971","4918","4187","1525","39","425","171","253","66","73"
"4333","4917","4454","5053","37","222","151","89","136","41"
"21095","4893","4860","781","42","389","275","250","178","105"
"43266","4888","1191","409","50","326","84","98","84","110"
"6668","4884","1594","337","15","79","9","23","13","3"
"5903","4864","2010","6","61","292","4","0","23","17"
"25309","4862","958","304","22","194","26","15","18","13"
"4767","4840","1633","590","70","307","44","35","29","14"
"5015","4834","2272","830","51","315","147","148","87","69"
"658","4789","1709","1509","45","431","23","14","32","23"
"4344","4772","2884","162","49","400","76","95","89","47"
"10819","4757","2409","408","61","498","66","37","155","93"
"398","4729","6150","101","18","108","117","64","115","133"
"11081","4710","5924","842","36","382","158","270","123","120"
"380","4707","3389","763","40","480","34","50","66","158"
"238","4705","5949","3351","53","237","153","181","160","145"
"7952","4703","3333","170","19","73","107","27","79","21"
"460","4691","3641","390","59","504","97","145","74","77"
"302","4677","2562","598","78","1200","54","116","90","180"
"51668","4667","529","212","11","59","1","1","4","2"
"9684","4661","1518","7","23","233","3","3","17","36"
"2503","4651","3246","1212","36","427","58","80","22","19"
"31310","4646","1876","349","64","116","179","56","124","22"
"6514","4630","2063","157","27","505","20","22","13","6"
"1840","4599","4021","1485","76","521","120","161","88","226"
"13552","4586","2370","1654","42","322","24","29","33","51"
"4558","4582","2023","764","35","364","24","16","19","16"
"36108","4567","2277","463","85","667","38","32","47","32"
"3651","4563","1500","510","72","326","59","36","104","99"
"17907","4540","2902","1840","30","214","72","128","79","160"
"7399","4538","2930","188","51","387","96","164","65","41"
"468","4537","1890","498","63","361","79","41","45","46"
"5229","4529","7518","170","33","282","68","77","101","36"
"20186","4521","2465","2352","68","424","228","249","113","100"
"2733","4520","3217","113","64","386","79","54","102","80"
"18128","4511","2489","212","42","270","34","48","62","64"
"3995","4510","2293","518","40","272","69","39","78","34"
"2149","4508","1888","1653","101","764","29","20","47","30"
"4707","4500","5855","289","26","346","84","104","59","67"
"11025","4496","2403","137","54","264","73","50","60","41"
"7591","4491","6344","7","26","248","50","106","26","34"
"38566","4461","4126","44","41","222","40","43","35","31"
"4910","4459","3162","221","44","501","29","49","35","67"
"44953","4418","3336","422","89","324","460","466","126","60"
"12218","4409","1897","1036","15","63","6","0","15","9"
"7762","4407","2460","559","41","305","59","109","36","15"
"84349","4378","608","1474","1","1","","","",""
"3132","4378","3356","467","28","450","89","195","56","37"
"10475","4372","4760","84","37","498","59","96","47","143"
"2938","4351","5932","367","66","466","212","255","265","121"
"11546","4328","4510","495","12","60","204","116","127","48"
"12205","4326","1254","107","103","460","9","5","24","16"
"16702","4294","2220","257","41","146","125","54","101","46"
"3711","4276","1476","1203","48","312","96","220","107","109"
"3659","4257","1928","1456","54","452","44","72","51","75"
"1021","4242","3094","356","57","396","77","60","101","131"
"23758","4239","2271","273","53","246","103","76","110","50"
"17773","4237","882","1396","25","41","57","21","55","4"
"6942","4231","1178","58","36","337","10","19","21","9"
"27453","4206","906","1238","59","255","25","17","30","19"
"16537","4179","2321","135","29","97","173","48","145","23"
"9672","4151","3048","665","60","380","51","68","83","29"
"2618","4144","2249","224","43","508","19","37","50","41"
"13441","4131","3370","401","10","47","66","20","158","29"
"1916","4129","5836","3068","35","474","179","233","97","115"
"27004","4120","1538","1408","7","47","17","5","14","9"
"35833","4106","2890","41","55","499","80","106","102","224"
"14302","4102","1805","397","61","442","60","116","51","44"
"36904","4097","2992","260","21","140","72","87","54","39"
"6074","4087","24135","7","6","270","13","10","13","7"
"1708","4079","1836","749","31","673","33","92","68","57"
"1050","4075","3989","800","47","385","90","281","80","86"
"24309","4075","2480","1260","47","226","147","129","88","34"
"9658","4073","1953","214","41","316","4","0","27","15"
"1059","4047","1889","993","104","365","2","2","34","2"
"40804","4046","2265","2396","1","10","24","55","9","8"
"2060","4026","3058","90","51","376","29","44","54","181"
"64449","3997","15500","689","8","35","1","0","5","0"
"5801","3993","1610","423","20","183","16","13","32","4"
"4572","3973","1907","594","71","277","29","32","25","9"
"5575","3968","14506","92","26","529","46","127","55","391"
"15743","3926","3193","1066","43","263","29","10","42","11"
"3401","3922","2201","411","44","360","33","55","75","38"
"3049","3919","6062","317","23","330","23","82","37","33"
"3304","3915","632","7","49","420","12","25","25","50"
"6460","3904","2713","583","41","306","83","78","51","41"
"2653","3890","2495","107","42","297","88","117","100","89"
"2672","3888","4219","624","36","145","290","60","342","49"
"2811","3883","4328","199","11","54","39","6","33","21"
"18238","3876","2560","1544","65","339","108","82","131","109"
"11009","3870","1795","262","41","468","25","50","32","78"
"29873","3864","2183","217","37","164","40","7","39","29"
"3891","3862","4468","58","29","169","42","6","86","13"
"69037","3861","2261","687","","","21","18","20","8"
"42278","3857","1775","34","44","201","57","66","31","7"
"5034","3847","3404","244","65","532","41","43","89","144"
"12898","3841","4173","1617","82","341","219","168","93","53"
"10605","3835","1528","4096","27","184","50","69","45","62"
"1227","3831","974","496","32","388","17","22","14","31"
"1703","3806","3400","780","57","216","44","31","85","264"
"13113","3804","1325","125","37","219","67","56","61","99"
"3874","3804","3062","0","54","399","81","104","60","31"
"18850","3783","2553","1071","2","20","34","53","18","13"
"5513","3781","2869","453","42","337","143","191","70","57"
"7710","3765","2039","353","76","232","80","15","101","17"
"22051","3761","3780","2751","85","189","246","123","171","51"
"9068","3742","2874","1366","27","260","69","76","46","17"
"1540","3733","3874","2745","58","265","118","81","65","23"
"5498","3720","2322","511","39","265","43","41","33","14"
"2823","3711","2533","728","39","321","57","80","79","43"
"6269","3698","6182","1448","69","478","167","125","143","89"
"38468","3696","2155","288","56","254","125","136","72","59"
"40","3685","1603","160","22","306","6","2","21","26"
"14515","3670","1773","25","56","310","15","11","72","17"
"3902","3667","5621","235","24","266","58","142","106","243"
"25485","3653","1284","1900","69","210","110","123","53","29"
"12858","3652","2110","1157","53","249","102","115","68","32"
"8212","3651","4217","1957","116","1065","315","609","370","831"
"10839","3650","2109","170","33","270","35","63","17","12"
"351","3636","2499","1371","47","488","12","8","41","15"
"2275","3607","2734","0","20","341","","","6","2"
"68305","3596","903","28","41","189","19","32","26","13"
"349","3594","2965","390","38","428","19","22","21","18"
"9022","3594","2471","75","114","340","52","33","92","27"
"20598","3591","2976","358","28","178","36","35","58","49"
"972","3587","1960","430","76","300","89","56","70","74"
"100","3583","2493","1019","33","220","18","24","32","21"
"11211","3574","1916","689","24","169","41","27","44","20"
"41953","3573","2561","1162","21","162","40","29","50","23"
"61949","3545","1879","971","","","2","1","3","0"
"5094","3535","4608","970","26","150","210","308","134","101"
"1094","3533","5929","10774","10","182","52","88","37","90"
"2035","3527","1447","65","52","304","95","157","52","77"
"10059","3526","6126","113","41","208","88","22","140","39"
"24965","3525","3709","228","10","30","52","7","27","4"
"644","3507","3692","2407","30","218","124","165","88","179"
"4991","3500","1749","220","35","393","20","37","34","45"
"2627","3500","2200","422","35","263","47","109","53","51"
"24076","3496","413","1500","34","166","14","20","26","25"
"3696","3489","4626","0","44","454","7","10","33","30"
"14233","3476","2086","344","9","32","10","4","7","4"
"6518","3474","1427","440","35","206","105","74","45","26"
"9502","3472","1871","0","51","159","92","89","26","26"
"3635","3465","1038","36","37","294","28","18","31","41"
"1018","3455","2287","1055","19","286","18","64","3","2"
"404","3452","2584","566","99","493","39","76","85","190"
"25358","3445","2299","916","60","172","51","18","68","19"
"37103","3442","2561","140","27","60","147","105","65","62"
"6214","3440","2818","0","45","389","73","56","72","66"
"12301","3436","1599","2161","44","249","120","67","98","32"
"6827","3427","1694","616","51","285","44","42","39","39"
